[s],CH1[V]
5.48172E-01,8.000E-04
5.48212E-01,1.600E-03
5.48252E-01,8.000E-04
5.48292E-01,1.200E-03
5.48332E-01,1.600E-03
5.48372E-01,1.200E-03
5.48412E-01,1.600E-03
5.48452E-01,1.600E-03
5.48492E-01,1.200E-03
5.48532E-01,1.600E-03
5.48572E-01,1.200E-03
5.48613E-01,1.200E-03
5.48653E-01,1.200E-03
5.48693E-01,8.000E-04
5.48733E-01,1.600E-03
5.48773E-01,1.200E-03
5.48813E-01,1.600E-03
5.48853E-01,1.600E-03
5.48893E-01,8.000E-04
5.48933E-01,1.600E-03
5.48973E-01,8.000E-04
5.49013E-01,1.200E-03
5.49053E-01,4.000E-04
5.49093E-01,1.200E-03
5.49133E-01,1.200E-03
5.49173E-01,8.000E-04
5.49213E-01,1.200E-03
5.49253E-01,1.200E-03
5.49293E-01,8.000E-04
5.49333E-01,1.200E-03
5.49373E-01,1.200E-03
5.49413E-01,1.600E-03
5.49453E-01,1.200E-03
5.49493E-01,8.000E-04
5.49533E-01,1.200E-03
5.49573E-01,8.000E-04
5.49613E-01,1.200E-03
5.49653E-01,1.200E-03
5.49693E-01,1.200E-03
5.49733E-01,1.200E-03
5.49773E-01,1.200E-03
5.49813E-01,1.200E-03
5.49853E-01,1.200E-03
5.49893E-01,1.200E-03
5.49933E-01,8.000E-04
5.49973E-01,1.600E-03
5.50013E-01,8.000E-04
5.50053E-01,1.200E-03
5.50093E-01,1.200E-03
5.50133E-01,8.000E-04
5.50173E-01,8.000E-04
5.50213E-01,1.200E-03
5.50253E-01,1.200E-03
5.50293E-01,1.200E-03
5.50333E-01,8.000E-04
5.50373E-01,1.200E-03
5.50413E-01,8.000E-04
5.50453E-01,8.000E-04
5.50493E-01,4.000E-04
5.50533E-01,1.600E-03
5.50573E-01,8.000E-04
5.50614E-01,8.000E-04
5.50654E-01,1.200E-03
5.50694E-01,1.200E-03
5.50734E-01,3.300E-19
5.50774E-01,1.600E-03
5.50814E-01,8.000E-04
5.50854E-01,1.200E-03
5.50894E-01,8.000E-04
5.50934E-01,8.000E-04
5.50974E-01,8.000E-04
5.51014E-01,1.600E-03
5.51054E-01,1.200E-03
5.51094E-01,8.000E-04
5.51134E-01,1.200E-03
5.51174E-01,8.000E-04
5.51214E-01,1.200E-03
5.51254E-01,8.000E-04
5.51294E-01,8.000E-04
5.51334E-01,1.200E-03
5.51374E-01,1.200E-03
5.51414E-01,8.000E-04
5.51454E-01,8.000E-04
5.51494E-01,8.000E-04
5.51534E-01,8.000E-04
5.51574E-01,8.000E-04
5.51614E-01,8.000E-04
5.51654E-01,8.000E-04
5.51694E-01,8.000E-04
5.51734E-01,1.200E-03
5.51774E-01,1.600E-03
5.51814E-01,8.000E-04
5.51854E-01,1.200E-03
5.51894E-01,1.600E-03
5.51934E-01,8.000E-04
5.51974E-01,1.200E-03
5.52014E-01,8.000E-04
5.52054E-01,8.000E-04
5.52094E-01,1.200E-03
5.52134E-01,1.200E-03
5.52174E-01,8.000E-04
5.52214E-01,1.200E-03
5.52254E-01,4.000E-04
5.52294E-01,1.200E-03
5.52334E-01,1.200E-03
5.52374E-01,1.200E-03
5.52414E-01,1.200E-03
5.52454E-01,2.000E-03
5.52494E-01,1.200E-03
5.52534E-01,1.600E-03
5.52574E-01,1.200E-03
5.52615E-01,8.000E-04
5.52655E-01,1.200E-03
5.52695E-01,1.600E-03
5.52735E-01,1.600E-03
5.52775E-01,1.200E-03
5.52815E-01,1.200E-03
5.52855E-01,1.200E-03
5.52895E-01,1.600E-03
5.52935E-01,1.200E-03
5.52975E-01,1.200E-03
5.53015E-01,1.600E-03
5.53055E-01,1.600E-03
5.53095E-01,2.000E-03
5.53135E-01,1.200E-03
5.53175E-01,1.200E-03
5.53215E-01,1.200E-03
5.53255E-01,2.000E-03
5.53295E-01,2.000E-03
5.53335E-01,1.600E-03
5.53375E-01,1.200E-03
5.53415E-01,2.000E-03
5.53455E-01,1.200E-03
5.53495E-01,1.600E-03
5.53535E-01,1.600E-03
5.53575E-01,1.600E-03
5.53615E-01,1.200E-03
5.53655E-01,1.600E-03
5.53695E-01,2.000E-03
5.53735E-01,1.600E-03
5.53775E-01,1.200E-03
5.53815E-01,1.600E-03
5.53855E-01,1.600E-03
5.53895E-01,8.000E-04
5.53935E-01,1.600E-03
5.53975E-01,2.000E-03
5.54015E-01,1.200E-03
5.54055E-01,1.200E-03
5.54095E-01,1.600E-03
5.54135E-01,2.000E-03
5.54175E-01,1.600E-03
5.54215E-01,1.200E-03
5.54255E-01,1.200E-03
5.54295E-01,1.600E-03
5.54335E-01,1.600E-03
5.54375E-01,1.200E-03
5.54415E-01,2.400E-03
5.54455E-01,2.000E-03
5.54495E-01,1.200E-03
5.54535E-01,1.200E-03
5.54575E-01,1.200E-03
5.54616E-01,1.600E-03
5.54656E-01,1.600E-03
5.54696E-01,1.600E-03
5.54736E-01,1.200E-03
5.54776E-01,1.600E-03
5.54816E-01,2.000E-03
5.54856E-01,1.600E-03
5.54896E-01,1.600E-03
5.54936E-01,1.200E-03
