[s],CH1[V]
6.52492E-01,-8.000E-04
6.52532E-01,-1.200E-03
6.52572E-01,-2.000E-03
6.52612E-01,-1.600E-03
6.52652E-01,-1.600E-03
6.52692E-01,-1.200E-03
6.52732E-01,-2.800E-03
6.52772E-01,-1.600E-03
6.52812E-01,-2.000E-03
6.52852E-01,-1.200E-03
6.52892E-01,-1.600E-03
6.52932E-01,-2.400E-03
6.52972E-01,-1.200E-03
6.53012E-01,-1.600E-03
6.53052E-01,-1.200E-03
6.53092E-01,-1.200E-03
6.53132E-01,-1.600E-03
6.53172E-01,-1.200E-03
6.53212E-01,-1.200E-03
6.53252E-01,-1.600E-03
6.53292E-01,-1.600E-03
6.53332E-01,-1.600E-03
6.53372E-01,-2.000E-03
6.53412E-01,-1.600E-03
6.53452E-01,-2.400E-03
6.53492E-01,-1.200E-03
6.53532E-01,-1.600E-03
6.53572E-01,-2.800E-03
6.53612E-01,-1.600E-03
6.53652E-01,-2.000E-03
6.53692E-01,-1.600E-03
6.53732E-01,-2.000E-03
6.53772E-01,-2.000E-03
6.53812E-01,-1.600E-03
6.53852E-01,-1.200E-03
6.53892E-01,-1.200E-03
6.53932E-01,-2.000E-03
6.53972E-01,-1.600E-03
6.54012E-01,-1.600E-03
6.54052E-01,-2.000E-03
6.54092E-01,-1.600E-03
6.54132E-01,-1.600E-03
6.54172E-01,-2.400E-03
6.54213E-01,-2.400E-03
6.54253E-01,-1.600E-03
6.54293E-01,-2.000E-03
6.54333E-01,-1.600E-03
6.54373E-01,-2.000E-03
6.54413E-01,-1.600E-03
6.54453E-01,-1.600E-03
6.54493E-01,-1.600E-03
6.54533E-01,-1.200E-03
6.54573E-01,-1.200E-03
6.54613E-01,-2.000E-03
6.54653E-01,-1.600E-03
6.54693E-01,-2.000E-03
6.54733E-01,-1.600E-03
6.54773E-01,-2.000E-03
6.54813E-01,-2.000E-03
6.54853E-01,-2.400E-03
6.54893E-01,-2.000E-03
6.54933E-01,-1.600E-03
6.54973E-01,-1.200E-03
6.55013E-01,-2.000E-03
6.55053E-01,-1.600E-03
6.55093E-01,-2.000E-03
6.55133E-01,-1.600E-03
6.55173E-01,-1.200E-03
6.55213E-01,-1.600E-03
6.55253E-01,-1.600E-03
6.55293E-01,-1.600E-03
6.55333E-01,-1.600E-03
6.55373E-01,-1.200E-03
6.55413E-01,-1.600E-03
6.55453E-01,-2.000E-03
6.55493E-01,-1.600E-03
6.55533E-01,-1.600E-03
6.55573E-01,-1.600E-03
6.55613E-01,-2.000E-03
6.55653E-01,-2.400E-03
6.55693E-01,-1.200E-03
6.55733E-01,-2.000E-03
6.55773E-01,-1.200E-03
6.55813E-01,-1.600E-03
6.55853E-01,-1.600E-03
6.55893E-01,-1.200E-03
6.55933E-01,-1.200E-03
6.55973E-01,-1.600E-03
6.56013E-01,-2.400E-03
6.56053E-01,-8.000E-04
6.56093E-01,-1.600E-03
6.56133E-01,-1.200E-03
6.56173E-01,-2.000E-03
6.56214E-01,-1.600E-03
6.56254E-01,-1.600E-03
6.56294E-01,-1.600E-03
6.56334E-01,-1.600E-03
6.56374E-01,-1.200E-03
6.56414E-01,-1.600E-03
6.56454E-01,-1.200E-03
6.56494E-01,-2.000E-03
6.56534E-01,-1.600E-03
6.56574E-01,-1.600E-03
6.56614E-01,-1.200E-03
6.56654E-01,-1.200E-03
6.56694E-01,-2.000E-03
6.56734E-01,-1.600E-03
6.56774E-01,-1.200E-03
6.56814E-01,-1.600E-03
6.56854E-01,-1.600E-03
6.56894E-01,-1.200E-03
6.56934E-01,-1.600E-03
6.56974E-01,-1.600E-03
6.57014E-01,-1.600E-03
6.57054E-01,-1.600E-03
6.57094E-01,-1.200E-03
6.57134E-01,-1.200E-03
6.57174E-01,-8.000E-04
6.57214E-01,-1.200E-03
6.57254E-01,-1.200E-03
6.57294E-01,-8.000E-04
6.57334E-01,-8.000E-04
6.57374E-01,-1.200E-03
6.57414E-01,-1.200E-03
6.57454E-01,-1.200E-03
6.57494E-01,-1.200E-03
6.57534E-01,-1.200E-03
6.57574E-01,-1.200E-03
6.57614E-01,-1.200E-03
6.57654E-01,-1.600E-03
6.57694E-01,-1.600E-03
6.57734E-01,-2.000E-03
6.57774E-01,-1.200E-03
6.57814E-01,-8.000E-04
6.57854E-01,-1.600E-03
6.57894E-01,-1.600E-03
6.57934E-01,-8.000E-04
6.57974E-01,-1.200E-03
6.58014E-01,-4.000E-04
6.58054E-01,-1.200E-03
6.58094E-01,-1.200E-03
6.58134E-01,-1.200E-03
6.58174E-01,-1.200E-03
6.58215E-01,-1.200E-03
6.58255E-01,-2.000E-03
6.58295E-01,-1.600E-03
6.58335E-01,-4.000E-04
6.58375E-01,-1.200E-03
6.58415E-01,-1.200E-03
6.58455E-01,-4.000E-04
6.58495E-01,-1.200E-03
6.58535E-01,-1.600E-03
6.58575E-01,-1.200E-03
6.58615E-01,-1.200E-03
6.58655E-01,-1.200E-03
6.58695E-01,-1.200E-03
6.58735E-01,-8.000E-04
6.58775E-01,-8.000E-04
6.58815E-01,-1.200E-03
6.58855E-01,-1.600E-03
6.58895E-01,-1.600E-03
6.58935E-01,-1.200E-03
6.58975E-01,-8.000E-04
6.59015E-01,-1.200E-03
6.59055E-01,-1.200E-03
6.59095E-01,-1.200E-03
6.59135E-01,-1.200E-03
6.59175E-01,-1.600E-03
6.59215E-01,-1.200E-03
6.59255E-01,-1.200E-03
6.59295E-01,-1.600E-03
6.59335E-01,-1.200E-03
6.59375E-01,-1.200E-03
6.59415E-01,-1.600E-03
6.59455E-01,-1.200E-03
6.59495E-01,-1.200E-03
6.59535E-01,-1.200E-03
6.59575E-01,-1.200E-03
6.59615E-01,-4.000E-04
6.59655E-01,-1.200E-03
6.59695E-01,-2.000E-03
6.59735E-01,-1.200E-03
6.59775E-01,-1.200E-03
6.59815E-01,-8.000E-04
6.59855E-01,-1.200E-03
6.59895E-01,-1.200E-03
6.59935E-01,-1.200E-03
6.59975E-01,-8.000E-04
6.60015E-01,-1.600E-03
6.60055E-01,-1.600E-03
6.60095E-01,-1.200E-03
6.60135E-01,-1.200E-03
6.60175E-01,-1.200E-03
6.60216E-01,-8.000E-04
6.60256E-01,-1.200E-03
6.60296E-01,-8.000E-04
6.60336E-01,-1.200E-03
6.60376E-01,-1.600E-03
6.60416E-01,-1.600E-03
6.60456E-01,-1.200E-03
6.60496E-01,-2.000E-03
6.60536E-01,-1.600E-03
6.60576E-01,-1.600E-03
6.60616E-01,-1.600E-03
6.60656E-01,-1.200E-03
6.60696E-01,-1.200E-03
6.60736E-01,-1.200E-03
6.60776E-01,-1.600E-03
6.60816E-01,-1.600E-03
6.60856E-01,-1.200E-03
6.60896E-01,-1.200E-03
6.60936E-01,-1.200E-03
6.60976E-01,-1.600E-03
6.61016E-01,-1.600E-03
6.61056E-01,-1.600E-03
6.61096E-01,-1.600E-03
6.61136E-01,-1.600E-03
6.61176E-01,-1.600E-03
6.61216E-01,-8.000E-04
6.61256E-01,-2.000E-03
6.61296E-01,-2.000E-03
6.61336E-01,-1.600E-03
6.61376E-01,-2.000E-03
6.61416E-01,-1.600E-03
6.61456E-01,-2.000E-03
6.61496E-01,-1.200E-03
6.61536E-01,-1.600E-03
6.61576E-01,-1.600E-03
6.61616E-01,-2.000E-03
6.61656E-01,-1.600E-03
6.61696E-01,-1.200E-03
6.61736E-01,-1.600E-03
6.61776E-01,-2.000E-03
6.61816E-01,-1.200E-03
6.61856E-01,-1.600E-03
6.61896E-01,-2.000E-03
6.61936E-01,-2.000E-03
6.61976E-01,-1.600E-03
6.62016E-01,-1.200E-03
6.62056E-01,-2.000E-03
6.62096E-01,-2.000E-03
6.62136E-01,-2.000E-03
6.62176E-01,-1.600E-03
6.62217E-01,-1.600E-03
6.62257E-01,-2.000E-03
6.62297E-01,-2.000E-03
6.62337E-01,-2.000E-03
6.62377E-01,-2.000E-03
6.62417E-01,-1.600E-03
6.62457E-01,-2.400E-03
6.62497E-01,-1.200E-03
6.62537E-01,-1.600E-03
6.62577E-01,-1.600E-03
6.62617E-01,-2.000E-03
6.62657E-01,-1.200E-03
6.62697E-01,-2.000E-03
6.62737E-01,-1.600E-03
6.62777E-01,-2.000E-03
6.62817E-01,-1.600E-03
6.62857E-01,-1.600E-03
6.62897E-01,-1.200E-03
6.62937E-01,-2.000E-03
6.62977E-01,-2.000E-03
6.63017E-01,-2.000E-03
